Solar composition: Grevesse, Asplund & Sauval 2007
Z☉=1.220445E-02 	εZ☉=8.756004E-04
atomic number 	element 	(Xi/Z)☉ 	(εi/εZ)☉ 	log(εi/εH)☉+12 	atomic weight
3 	Li 	1.179761E-08 	4.673607E-09 	1.05 	6.941739
4 	Be 	2.522865E-08 	1.297520E-08 	1.38 	9.012183
5 	B 	5.271013E-07 	3.252362E-07 	2.70 	10.812224
6 	C 	2.581036E-01 	1.769164E-01 	8.39 	12.011137
7 	N 	6.335692E-02 	5.064327E-02 	7.78 	14.006763
8 	O 	4.807221E-01 	4.389216E-01 	8.66 	15.999375
9 	F 	3.817632E-05 	4.139054E-05 	4.56 	18.998405
10 	Ne 	7.274348E-02 	8.373716E-02 	7.84 	20.171321
11 	Na 	1.555586E-03 	2.040885E-03 	6.17 	22.989771
12 	Mg 	3.563642E-02 	4.943799E-02 	7.53 	24.309551
13 	Al 	2.464870E-03 	3.795340E-03 	6.37 	26.981541
14 	Si 	3.403252E-02 	5.454661E-02 	7.51 	28.085611
15 	P 	2.408763E-04 	4.257728E-04 	5.36 	30.973765
16 	S 	1.451423E-02 	2.655876E-02 	7.14 	32.064451
17 	Cl 	3.325784E-04 	6.729649E-04 	5.50 	35.457532
18 	Ar 	1.592187E-03 	3.629738E-03 	6.18 	39.947662
19 	K 	1.264137E-04 	2.820818E-04 	5.08 	39.101298
20 	Ca 	2.147307E-03 	4.911048E-03 	6.31 	40.076544
21 	Sc 	1.555586E-06 	3.990899E-06 	3.17 	44.955917
22 	Ti 	8.353992E-05 	2.282592E-04 	4.90 	47.878925
23 	V 	1.051705E-05 	3.057428E-05 	4.00 	50.941572
24 	Cr 	4.589803E-04 	1.361970E-03 	5.64 	51.997623
25 	Mn 	2.581036E-04 	8.092023E-04 	5.39 	54.938046
26 	Fe 	2.963426E-02 	9.444657E-02 	7.45 	55.847311
27 	Co 	8.747703E-05 	2.942008E-04 	4.92 	58.933189
28 	Ni 	1.786052E-03 	5.983577E-03 	6.23 	58.705254
29 	Cu 	1.705274E-05 	6.184158E-05 	4.21 	63.547234
30 	Zn 	4.186914E-05 	1.562336E-04 	4.60 	65.386875
31 	Ga 	7.978000E-07 	3.174125E-06 	2.88 	69.717234
32 	Ge 	3.998472E-06 	1.657306E-05 	3.58 	72.630452
33 	As 	2.050190E-07 	8.765788E-07 	2.29 	74.921600
34 	Se 	2.248506E-06 	1.013579E-05 	3.33 	78.990277
35 	Br 	3.817632E-07 	1.740869E-06 	2.56 	79.906523
36 	Kr 	1.869365E-06 	8.939901E-06 	3.25 	83.800924
37 	Rb 	4.186914E-07 	2.042151E-06 	2.60 	85.468072
38 	Sr 	8.747703E-07 	4.373908E-06 	2.92 	87.616461
39 	Y 	1.705274E-07 	8.651957E-07 	2.21 	88.905867
40 	Zr 	3.998472E-07 	2.081574E-06 	2.58 	91.223746
41 	Nb 	2.766267E-08 	1.466660E-07 	1.42 	92.906380
42 	Mo 	8.747703E-08 	4.786912E-07 	1.92 	95.889605
44 	Ru 	7.274348E-08 	4.195577E-07 	1.84 	101.066641
45 	Rh 	1.386418E-08 	8.141840E-08 	1.12 	102.905511
46 	Pd 	4.807221E-08 	2.919785E-07 	1.66 	106.430727
47 	Ag 	9.157861E-09 	5.637398E-08 	0.94 	107.868530
48 	Cd 	6.192900E-08 	3.973176E-07 	1.77 	112.422659
49 	In 	4.186914E-08 	2.743437E-07 	1.60 	114.818279
50 	Sn 	1.051705E-07 	7.126206E-07 	2.00 	118.733825
51 	Sb 	1.051705E-08 	7.307771E-08 	1.00 	121.758986
52 	Te 	1.628524E-07 	1.186122E-06 	2.19 	127.627845
53 	I 	3.403252E-08 	2.464682E-07 	1.51 	126.904474
54 	Xe 	1.827234E-07 	1.369059E-06 	2.24 	131.292004
55 	Cs 	1.235646E-08 	9.371879E-08 	1.07 	132.905440
56 	Ba 	1.555586E-07 	1.219106E-06 	2.17 	137.327464
57 	La 	1.418385E-08 	1.124355E-07 	1.13 	138.905511
58 	Ce 	5.271013E-08 	4.214706E-07 	1.70 	140.114588
59 	Pr 	3.998472E-09 	3.215279E-08 	0.58 	140.907700
60 	Nd 	2.963426E-08 	2.439343E-07 	1.45 	144.241079
62 	Sm 	1.051705E-08 	9.024564E-08 	1.00 	150.363469
63 	Eu 	3.482523E-09 	3.020127E-08 	0.52 	151.964200
64 	Gd 	1.354547E-08 	1.215600E-07 	1.11 	157.255784
65 	Tb 	2.003060E-09 	1.816675E-08 	0.28 	158.925390
66 	Dy 	1.451423E-08 	1.345977E-07 	1.14 	162.500111
67 	Ho 	3.403252E-09 	3.203203E-08 	0.51 	164.930360
68 	Er 	8.949403E-09 	8.542395E-08 	0.93 	167.261394
69 	Tm 	1.051705E-09 	1.013915E-08 	0.00 	168.934240
70 	Yb 	1.264137E-08 	1.248309E-07 	1.08 	173.036747
71 	Lu 	1.207241E-09 	1.205423E-08 	0.06 	174.966749
72 	Hf 	7.978000E-09 	8.126425E-08 	0.88 	178.490703
73 	Ta 	7.108763E-10 	7.340700E-09 	-0.17 	180.947907
74 	W 	1.354547E-08 	1.421109E-07 	1.11 	183.841519
75 	Re 	1.786052E-09 	1.897994E-08 	0.23 	186.213359
76 	Os 	1.869365E-08 	2.029456E-07 	1.25 	190.237368
77 	Ir 	2.522865E-08 	2.767411E-07 	1.38 	192.216095
78 	Pt 	4.589803E-08 	5.109731E-07 	1.64 	195.080617
79 	Au 	1.075955E-08 	1.209418E-07 	1.01 	196.966550
80 	Hg 	1.418385E-08 	1.623709E-07 	1.13 	200.596900
81 	Tl 	8.353992E-09 	9.743847E-08 	0.90 	204.383823
82 	Pb 	1.051705E-07 	1.243692E-06 	2.00 	207.218721
83 	Bi 	4.697795E-09 	5.602598E-08 	0.65 	208.980400
90 	Th 	1.207241E-09 	1.598612E-08 	0.06 	232.038080
92 	U 	3.176099E-10 	4.314333E-09 	-0.52 	238.028942
